label,word,count
0,không,23484
0,hàng,21662
0,giao,13185
0,có,11979
0,mua,11973
0,ko,11581
0,được,10794
0,mình,10456
0,thì,10224
0,như,8617
0,sản,8600
0,phẩm,8365
0,là,8344
0,lại,8291
0,mà,8219
0,shop,8065
0,nhưng,7376
0,tiki,7335
0,bị,6865
0,cho,6372
0,và,6297
0,quá,6271
0,nhận,6130
0,đã,5962
0,đặt,5861
0,này,5727
0,k,5514
0,cái,5219
0,hình,5056
0,rất,5051
0,màu,4652
0,khi,4641
0,tôi,4526
0,đúng,4509
0,nên,4472
0,chất,4299
0,đổi,4256
0,ra,4175
0,với,3986
0,sao,3970
0,để,3964
0,làm,3821
0,về,3735
0,của,3689
0,lần,3686
0,chỉ,3595
0,trả,3588
0,mới,3574
0,lượng,3554
0,bán,3529
0,thấy,3387
0,dùng,3383
0,phải,3375
0,cũng,3237
0,trong,3217
0,máy,3191
0,khác,3097
0,dụng,3054
0,rồi,2936
0,giá,2912
0,vậy,2878
0,tệ,2806
0,gì,2783
0,vọng,2781
0,vào,2780
0,tiền,2713
0,còn,2694
0,chưa,2620
0,sử,2601
0,thất,2578
0,giống,2543
0,trên,2434
0,nào,2412
0,bên,2380
0,gửi,2350
0,hơn,2331
0,đầu,2311
0,ngày,2304
0,đc,2284
0,khách,2276
0,size,2274
0,người,2243
0,lòng,2159
0,vì,2046
0,biết,2043
0,vẫn,2026
0,luôn,1981
0,sau,1976
0,lỗi,1975
0,đi,1961
0,đến,1961
0,kém,1941
0,hết,1933
0,đề,1895
0,ăn,1892
0,nói,1889
0,nữa,1886
0,cáo,1870
0,nhiều,1848
0,ảnh,1838
0,lên,1825
0,dây,1815
0,giờ,1795
0,vừa,1788
0,đơn,1780
0,cả,1774
0,bảo,1764
0,quảng,1763
0,mẫu,1756
0,một,1750
0,áo,1732
0,hộp,1722
0,điện,1712
0,hài,1663
0,trước,1645
0,mất,1636
0,tin,1611
0,nhà,1607
0,thể,1606
0,thế,1558
0,ở,1552
0,nhỏ,1545
0,lừa,1527
0,sai,1518
0,sp,1478
0,gói,1477
0,các,1456
0,xem,1440
0,loại,1438
0,lúc,1437
0,tốt,1434
0,từ,1434
0,lắp,1431
0,mong,1411
0,thật,1396
0,pin,1375
0,hay,1366
0,muốn,1365
0,mở,1362
0,kiểu,1362
0,báo,1350
0,liên,1350
0,sạc,1347
0,ng,1344
0,đen,1340
0,nghị,1338
0,kiểm,1310
0,đẹp,1309
0,m,1296
0,gọi,1289
0,qua,1284
0,tra,1284
0,cầu,1270
0,nước,1259
0,đóng,1237
0,sẽ,1233
0,quần,1212
0,mặc,1209
0,do,1209
0,đây,1208
0,bao,1207
0,thiếu,1206
0,yêu,1206
0,chứ,1205
0,túi,1190
0,nhìn,1186
0,xài,1181
0,vải,1171
0,đó,1165
0,mỏng,1163
0,đồ,1154
0,hoàn,1153
0,hành,1132
0,hơi,1129
0,hồi,1120
0,dc,1111
0,nhanh,1104
0,sự,1101
0,bạn,1090
0,tả,1069
0,cảm,1067
0,cần,1057
0,hệ,1054
0,kết,1047
0,đảo,1043
0,tay,1039
0,ghi,1029
0,trợ,1025
0,xấu,1020
0,nó,1020
0,xong,1019
0,đánh,1016
0,độ,1009
0,thôi,1003
0,khó,981
0,số,972
0,cắm,970
0,nghe,968
0,chắc,968
0,ngoài,965
0,thực,961
0,lấy,957
0,ok,952
0,mô,946
0,i,942
0,gian,939
0,lắm,938
0,nếu,934
0,toàn,933
0,hỗ,929
0,thông,928
0,sách,928
0,cách,912
0,nối,910
0,tháng,910
0,bình,906
0,mọi,905
0,n,905
0,nay,903
0,lời,903
0,so,901
0,đâu,900
0,t,900
0,chuyển,899
0,bỏ,888
0,ai,884
0,kg,884
0,chán,882
0,lâu,881
0,con,880
0,phản,879
0,tính,879
0,thời,877
0,chân,875
0,nhé,871
0,ý,867
0,dù,850
0,cao,844
0,may,842
0,thường,841
0,cũ,836
0,bộ,828
0,mặt,827
0,tới,823
0,hư,822
0,xanh,813
0,động,813
0,viên,811
0,tín,810
0,mấy,810
0,hôm,804
0,ạ,802
0,vô,802
0,công,800
0,phần,788
0,thanh,785
0,đăng,785
0,bằng,783
0,dán,773
0,đôi,766
0,theo,764
0,cùng,761
0,thêm,757
0,việc,757
0,hiệu,754
0,giải,750
0,nhựa,740
0,chịu,736
0,rõ,735
0,khá,735
0,thử,727
0,mang,727
0,rách,726
0,đèn,724
0,hỏng,724
0,nhân,720
0,treo,718
0,c,717
0,kèm,706
0,thứ,703
0,tự,702
0,trắng,699
0,tiếng,698
0,chạy,697
0,tặng,695
0,to,685
0,hỏi,683
0,liệu,678
0,dễ,677
0,chung,677
0,đợi,672
0,đồng,669
0,lý,665
0,dẫn,662
0,chờ,660
0,mã,660
0,xe,658
0,vấn,657
0,dịch,650
0,đang,649
0,rẻ,643
0,chọn,639
0,nha,637
0,sáng,637
0,hợp,636
0,giúp,632
0,đường,631
0,uy,628
0,nhau,628
0,da,625
0,hướng,622
0,h,617
0,cứng,617
0,em,615
0,giày,613
0,hoạt,613
0,mùi,607
0,y,605
0,tưởng,605
0,ổn,599
0,chỗ,599
0,nhắn,599
0,yếu,594
0,thoại,592
0,chính,590
0,dính,590
0,tuần,590
0,chậm,589
0,quạt,588
0,thành,579
0,tại,578
0,vụ,577
0,nhầm,577
0,quyết,576
0,gắn,573
0,kích,572
0,những,572
0,hãng,571
0,thịt,570
0,điều,569
0,phí,567
0,kéo,566
0,tế,563
0,in,562
0,hiểu,559
0,ngay,558
0,nồi,557
0,cấp,557
