word,count
hàng,404546
,372194
giao,288109
rất,273884
không,238143
có,235978
mình,229086
nhanh,212679
tốt,199119
mua,188580
phẩm,179229
sản,178135
sách,175553
và,173982
đẹp,173687
nhưng,161170
được,159464
là,149976
thì,143270
nên,140462
chất,139855
giá,138206
dùng,133890
gói,122810
lượng,119649
ko,118443
như,118101
bị,115473
tiki,114628
cho,110220
đóng,108562
ok,108060
shop,105217
với,99356
này,98217
mà,95491
đã,89624
thấy,87971
hơi,87026
mới,86968
chưa,85014
của,84668
cũng,82936
nhận,81138
hơn,79786
lại,77776
quá,76989
dụng,76814
để,75645
hay,72469
đúng,71286
khá,71066
nhiều,70731
về,69681
khi,69305
k,67625
trong,67445
ổn,66373
thận,66178
cẩn,65812
hình,64329
lắm,64125
sẽ,63618
sử,63245
dễ,62890
lòng,62806
còn,60779
chắc,60728
sao,60338
đọc,60246
hài,59065
cảm,58448
lần,56967
thích,54694
luôn,54613
máy,54031
phải,53198
ra,52689
người,51386
hợp,51112
đặt,50903
rồi,50812
biết,50268
cái,49195
một,48350
màu,46216
chỉ,45482
sau,45220
xài,44180
làm,42698
chắn,42636
cả,41857
nhỏ,41377
sp,40726
các,40673
vì,40507
vẫn,40095
dung,39919
đầu,39674
lâu,39341
nữa,39308
gì,38507
tiền,38139
đc,38015
nào,37952
vừa,37227
cuốn,37179
ngày,36867
tôi,36061
vào,35540
nói,35354
ngon,35333
bạn,34912
những,34423
hộp,33998
ạ,33828
nha,33392
mùi,33056
da,32461
rẻ,32337
nội,32253
ơn,32160
ở,31971
tặng,31869
hết,31775
thể,31709
nhìn,31667
độ,31504
đi,31339
đến,31114
thêm,30974
trên,30969
thời,30893
nghe,30023
ý,29888
thơm,29795
bên,29464
đáng,29128
hộ,29094
nhà,28812
khác,28657
nhẹ,28579
từ,28561
chính,28329
ủng,27884
nước,27203
gian,27200
nhé,27149
tay,27132
lúc,26867
ng,26536
so,26229
đánh,26088
tiện,25988
cực,25693
lên,25622
vậy,25534
chung,25466
bảo,25078
trước,25008
vọng,24556
bình,24388
thế,24318
bao,24308
êm,24299
tuy,24173
nhiệt,23814
bọc,23781
tiếp,23620
thử,23493
đổi,23419
ăn,23376
mọi,23246
nó,23172
tình,23155
loại,22768
qua,22741
ảnh,22715
sự,22568
giống,22503
hãng,22497
đủ,22405
nhiên,22341
cần,22258
ưng,21776
hành,21731
phù,21520
ngoài,21396
t,21364
to,21269
gọn,21235
siêu,21096
do,21072
mong,21006
tả,20945
tuyệt,20858
n,20712
giấy,20617
con,20536
đó,20086
nếu,19971
mẫu,19836
khó,19598
bìa,19591
cách,19316
hôm,19311
cao,19298
đơn,19241
tầm,19224
dây,19162
lý,19057
giờ,18990
tâm,18894
bàn,18801
theo,18779
dịch,18766
m,18763
sáng,18736
nhân,18726
bé,18656
thôi,18631
tạm,18618
chuyển,18594
pin,18593
kèm,18502
hiệu,18419
i,18381
thật,18367
mặt,18321
kết,18257
túi,18231
bền,18117
tác,18091
phần,18084
mềm,18056
mô,17995
bán,17974
kỹ,17950
sạc,17927
rõ,17792
nguyên,17713
đây,17504
điều,17252
hiểu,17217
móp,16928
lỗi,16894
đang,16730
đề,16700
chịu,16640
trang,16599
điện,16554
xem,16498
mặc,16452
muốn,16374
thường,16354
điểm,16288
dài,16241
quả,16223
tin,16074
quyển,16058
học,16037
nồi,15929
cáo,15887
dù,15831
đều,15800
in,15784
xong,15750
nhất,15735
chuẩn,15713
dc,15702
mấy,15678
vời,15667
lắp,15641
em,15633
tính,15569
kiến,15550
vải,15529
sạch,15491
bản,15415
thân,15361
tiếng,15311
thực,15098
quảng,15090
thứ,15090
số,15026
định,15005
tai,14895
động,14894
chạy,14891
thất,14702
size,14692
âm,14688
thanh,14672
mỏng,14647
cứng,14593
mang,14579
tháng,14550
đồ,14528
dày,14403
vấn,14360
chống,14336
đầy,14288
mở,14263
chuột,14227
áo,14225
quà,14216
nay,14206
sữa,14121
trả,14117
mã,14081
y,14055
công,14013
thành,13987
cùng,13918
thương,13906
thiết,13846
kĩ,13832
vị,13795
ai,13744
viên,13645
tới,13638
uống,13580
bằng,13486
giả,13444
sắc,13382
chân,13369
vận,13301
sài,13161
mất,13127
thiện,13111
c,13104
ship,13036
yêu,13008
giảm,12991
dẫn,12980
bộ,12954
mỗi,12897
chứ,12879
thức,12839
may,12814
cầm,12720
dầu,12711
thông,12590
nóng,12534
chút,12532
truyện,12530
nối,12355
giữ,12350
liệu,12347
khách,12217
tự,12182
việc,12154
tưởng,12094
gửi,12007
tệ,11848
hút,11843
gia,11789
kiểu,11751
sale,11634
giác,11536
xinh,11533
dự,11501
đèn,11483
mát,11338
nghĩ,11333
xịn,11285
hiện,11201
giúp,11171
vụ,11076
đợi,11036
chậm,10968
lớn,10964
tại,10924
chai,10834
toàn,10811
vô,10794
vài,10774
anh,10772
méo,10700
lợi,10678
cầu,10579
hoàn,10529
h,10512
mạnh,10510
ít,10482
tục,10408
dính,10400
đâu,10366
tư,10208
bỏ,10172
khô,10168
mịn,10138
ngay,10125
hướng,10091
ta,10033
sinh,10032
nhựa,9872
nấu,9820
chọn,9757
đường,9749
xuất,9662
kế,9656
góc,9643
kém,9579
shipper,9551
cắm,9540
hẹn,9536
dán,9524
năng,9501
thiếu,9497
đồng,9496
năm,9451
kích,9410
mắt,9403
càng,9343
cũ,9310
thay,9309
trợ,9188
gần,9147
chóng,9076
chỗ,9076
quan,9065
câu,8953
báo,8933
a,8918
tiết,8894
tìm,8867
xa,8856
co,8846
hoạt,8811
hang,8798
đựng,8755
liên,8705
bắt,8682
rách,8653
mn,8624
kì,8621
seal,8593
hư,8584
đối,8507
tập,8507
tuần,8485
nắp,8484
chờ,8482
kiểm,8479
rửa,8472
cứ,8409
sống,8395
đen,8374
yếu,8352
hỗ,8349
p,8312
chi,8304
kỳ,8276
tóc,8254
vẻ,8212
gọi,8189
quần,8181
hai,8168
hồi,8140
hạn,8109
mãi,8100
lấy,8076
ghi,8067
sang,8056
nặng,8036
vui,7990
ích,7954
minh,7945
viết,7944
giới,7912
kg,7883
tốc,7873
trình,7824
tra,7821
cơ,7812
đeo,7732
cuộc,7727
trắng,7680
cân,7680
chuyện,7621
phát,7557
mái,7545
tinh,7540
lớp,7530
loa,7516
oke,7516
nh,7494
đặc,7441
kem,7438
quạt,7431
tín,7413
tem,7397
ứng,7394
phím,7391
tương,7362
từng,7340
